Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down/Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Header_Length.1,Fwd_Avg_Bytes/Bulk,Fwd_Avg_Packets/Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes/Bulk,Bwd_Avg_Packets/Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,ECEFlagCount
80,3375910,4,0,24,0,6,6,6,0,0,0,0,0,7.109194262,1.18486571,1125303.333,1948480.66,3375215,322,3375910,1125303.333,1948480.66,3375215,322,0,0,0,0,0,0,0,0,0,80,0,1.18486571,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,
53,177,2,2,60,144,30,30,30,0,72,72,72,0,1152542.373,22598.87006,59,61.24540799,125,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,64,80,11299.43503,11299.43503,30,72,46.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,58.5,30,72,64,0,0,0,0,0,0,2,60,2,144,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,
80,126846,3,4,26,11601,20,0,8.666666667,10.26320288,8675,0,2900.25,4088.041942,91662.3307,55.18502751,21141,45878.91125,114264,41,12359,6179.5,8623.167197,12277,82,126805,42268.33333,62646.93437,114264,179,0,0,0,0,72,92,23.65072608,31.53430144,0,8675,1453.375,3091.095642,9554872.268,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
80,68047,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,170955.3691,132.2615251,8505.875,23690.94525,67136,3,782,391,435.5777772,699,83,67948,13589.6,29934.97579,67136,3,0,0,0,0,72,132,44.08717504,88.17435008,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
80,1516072,5,0,30,0,6,6,6,0,0,0,0,0,19.78797841,3.297996401,379018,754701.6799,1511065,1,1516072,379018,754701.6799,1511065,1,0,0,0,0,0,0,0,0,0,100,0,3.297996401,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDoS,
80,7746791,4,0,24,0,6,6,6,0,0,0,0,0,3.098056989,0.516342832,2582263.667,4471635.028,7745663,3,7746791,2582263.667,4471635.028,7745663,3,0,0,0,0,0,0,0,0,0,80,0,0.516342832,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1128,0,1128,1128,7745663,0,7745663,7745663,DDoS,
80,1450206,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,8021.618998,6.20601487,181275.75,512353.5466,1449286,3,574,287,401.6366517,571,3,1450203,290040.6,648037.9231,1449286,45,0,0,0,0,72,132,2.068671623,4.137343246,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
23238,11892782,1,6,6,36,6,6,6,0,6,6,6,0,3.531553845,0.588592308,1982130.333,4838507.07,11900000,2,0,0,0,0,0,11900000,2373533.6,5302354.614,11900000,2,0,0,0,0,20,120,0.084084615,0.504507692,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,34110,0,34110,34110,11900000,0,11900000,11900000,BENIGN,
80,635986,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,18291.28314,12.57889325,90855.14286,239951.5937,635014,3,782,391,390.3229432,667,115,635940,158985,317352.8495,635014,3,0,0,0,0,72,112,4.717084967,7.861808279,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
80,76544,2,0,12,0,6,6,6,0,0,0,0,0,156.7725753,26.12876254,76544,0,76544,76544,76544,76544,0,76544,76544,0,0,0,0,0,0,0,0,0,40,0,26.12876254,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,
50934,31482,6,2,11601,26,4380,0,1933.5,2189.772933,20,6,13,9.899494937,369322.1523,254.1134617,4497.428571,8940.546513,23935,49,31482,6296.4,10305.75489,23935,121,85,85,0,85,85,0,0,0,0,144,40,190.5850962,63.52836542,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,0,1453.375,1933.5,13,144,0,0,0,0,0,0,6,11601,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN,
80,61230,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,189988.5677,114.3230443,10205,24460.60117,60132,10,1018,509,373.3523805,773,245,61187,20395.66667,34416.565,60132,10,0,0,0,0,72,92,48.9955904,65.32745386,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
51729,8017900,1,6,6,36,6,6,6,0,6,6,6,0,5.23827935,0.873046558,1336316.667,3263452.612,7997796,1,0,0,0,0,0,8016833,1603366.6,3574602.941,7997796,1,0,0,0,0,20,120,0.124720937,0.748325621,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,20104,0,20104,20104,7997796,0,7997796,7997796,BENIGN,
55115,73991288,6,10,11613,68,10135,0,1935.5,4058.890772,20,0,6.8,5.006662228,157.8699373,0.216241674,4932752.533,16700000,64900000,1,74000000,14800000,32100000,72100000,5,72100000,8012305.222,21500000,64900000,1,0,0,0,0,132,212,0.081090628,0.135151046,0,10135,687.4705882,2459.880437,6051011.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,48784,0,48784,48784,36000000,40800000,64900000,7191006,BENIGN,
80,7667818,4,0,24,0,6,6,6,0,0,0,0,0,3.129964744,0.521660791,2555939.333,4426144.727,7666811,3,7667818,2555939.333,4426144.727,7666811,3,0,0,0,0,0,0,0,0,0,80,0,0.521660791,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1007,0,1007,1007,7666811,0,7666811,7666811,DDoS,
80,2700050,4,0,24,0,6,6,6,0,0,0,0,0,8.888724283,1.481454047,900016.6667,1558871.13,2700046,1,2700050,900016.6667,1558871.13,2700046,1,0,0,0,0,0,0,0,0,0,80,0,1.481454047,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,
80,12101725,4,0,24,0,6,6,6,0,0,0,0,0,1.983188347,0.330531391,4033908.333,6986196.343,12100000,47,12100000,4033908.333,6986196.343,12100000,47,0,0,0,0,0,0,0,0,0,80,0,0.330531391,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,852,0,852,852,12100000,0,12100000,12100000,DDoS,
80,58443,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,198945.9816,136.8855124,8349,18754.93662,50462,23,7665,3832.5,4787.820015,7218,447,58420,14605,24172.1065,50462,45,0,0,0,0,72,112,51.33206714,85.55344524,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
54142,7635371,1,5,6,30,6,6,6,0,6,6,6,0,4.714898595,0.785816432,1527074.2,3397330.413,7604378,3,0,0,0,0,0,7629829,1907457.25,3797963.948,7604378,3,0,0,0,0,20,100,0.130969405,0.654847027,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,30993,0,30993,30993,7604378,0,7604378,7604378,BENIGN,
80,1841098,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,6318.512105,4.888387256,230137.25,650624.2281,1840350,4,598,299,417.1930009,594,4,1841053,368210.6,822950.984,1840350,12,0,0,0,0,72,132,1.629462419,3.258924837,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
80,1222102,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,9513.935825,6.546098444,174586,454814.0094,1205925,4,15616,7808,10933.28505,15539,77,1222098,305524.5,600310.9221,1205925,164,0,0,0,0,72,112,2.454786916,4.091311527,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
53,144,2,2,86,118,43,43,43,0,59,59,59,0,1416666.667,27777.77778,48,77.94228634,138,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,13888.88889,13888.88889,43,59,49.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,61.75,43,59,40,0,0,0,0,0,0,2,86,2,118,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,
56873,75592212,5,10,11613,68,11595,0,2322.6,5183.42983,20,0,6.8,5.006662228,154.5265007,0.19843314,5399443.714,19300000,72300000,1,75600000,18900000,37700000,75500000,4,75500000,8389153.778,24000000,72300000,1,0,0,0,0,112,212,0.06614438,0.13228876,0,11595,730.4375,2897.219747,8393882.263,0,0,0,0,1,1,0,0,2,779.1333333,2322.6,6.8,112,0,0,0,0,0,0,5,11613,10,68,229,256,3,20,3246903,0,3246903,3246903,72300000,0,72300000,72300000,BENIGN,
80,25052,4,0,24,0,6,6,6,0,0,0,0,0,958.0073447,159.6678908,8350.666667,13765.86838,24246,349,25052,8350.666667,13765.86838,24246,349,0,0,0,0,0,0,0,0,0,80,0,159.6678908,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,
443,95011,1,1,0,0,0,0,0,0,0,0,0,0,0,21.05019419,95011,0,95011,95011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.52509709,10.52509709,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,304,252,0,32,0,0,0,0,0,0,0,0,BENIGN,
443,4249158,5,1,117,41,45,0,23.4,21.96132965,41,41,41,0,37.18383736,1.412044457,849831.6,1880241.7,4213202,3,4249158,1062289.5,2100672.319,4213202,3,0,0,0,0,0,1,0,0,0,160,32,1.176703714,0.235340743,0,45,28.42857143,19.88179354,395.2857143,0,1,0,0,1,0,0,0,0,33.16666667,23.4,41,160,0,0,0,0,0,0,5,117,1,41,476,125,2,32,0,0,0,0,0,0,0,0,BENIGN,
80,994335,3,4,26,11601,20,0,8.666666667,10.26320288,5840,0,2900.25,3345.636997,11693.24222,7.039880925,165722.5,403576.7577,989513,46,4582,2291,2927.422074,4361,221,994289,331429.6667,569921.2551,989513,156,0,0,0,0,72,92,3.017091825,4.0227891,0,5840,1453.375,2681.356423,7189672.268,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
53,25250,2,2,74,190,37,37,37,0,95,95,95,0,10455.44554,158.4158416,8416.666667,14572.03213,25243,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,79.20792079,79.20792079,37,95,60.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,75.25,37,95,40,0,0,0,0,0,0,2,74,2,190,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,
80,73148462,9,5,62,11601,20,0,6.888888889,5.30199124,5840,0,2320.2,2436.833027,159.4428602,0.191391584,5626804.769,18400000,66500000,49,73100000,9143385.375,23300000,66500000,49,28972,7243,13711.0253,27808,190,0,0,0,0,192,112,0.123037447,0.068354137,0,5840,777.9333333,1723.622534,2970874.638,0,0,0,0,1,0,0,0,0,833.5,6.888888889,2320.2,192,0,0,0,0,0,0,9,62,5,11601,256,229,7,20,1843,0,1843,1843,36600000,42300000,66500000,6660258,DDoS,
80,99741727,8,6,56,11601,20,0,7,5.656854249,5840,0,1933.5,2189.772933,116.8718484,0.140362518,7672440.538,24400000,88100000,0,99700000,14200000,32900000,88100000,0,34367,6873.4,15104.01959,33892,46,0,0,0,0,172,132,0.080207153,0.060155365,0,5840,777.5333333,1633.102694,2667024.41,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,999,0,999,999,49900000,54100000,88100000,11600000,DDoS,
443,7592,2,0,12,0,6,6,6,0,0,0,0,0,1580.61117,263.4351949,7592,0,7592,7592,7592,7592,0,7592,7592,0,0,0,0,0,0,0,0,0,40,0,263.4351949,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,64240,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,
53,59588,1,1,56,72,56,56,56,0,72,72,72,0,2148.083507,33.56380479,59588,0,59588,59588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.7819024,16.7819024,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92,56,72,20,0,0,0,0,0,0,1,56,1,72,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN,
80,102518351,8,6,56,11601,20,0,7,5.656854249,5840,0,1933.5,2189.772933,113.7064719,0.136560917,7886027,25100000,90700000,2,102000000,14500000,33800000,90700000,2,819150,163830,356134.8832,800751,52,0,0,0,0,172,132,0.07803481,0.058526107,0,5840,777.5333333,1633.102694,2667024.41,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1999,0,1999,1999,50800000,56400000,90700000,11000000,DDoS,
80,206055,5,0,30,0,6,6,6,0,0,0,0,0,145.5921963,24.26536604,51513.75,102361.2478,205054,0,206055,51513.75,102361.2478,205054,0,0,0,0,0,0,0,0,0,0,100,0,24.26536604,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDoS,
53,59972,1,1,56,72,56,56,56,0,72,72,72,0,2134.329354,33.34889615,59972,0,59972,59972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.67444808,16.67444808,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92,56,72,32,0,0,0,0,0,0,1,56,1,72,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,
80,1419343,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,8196.045635,6.34096198,177417.875,501404.6755,1418331,2,800,400,461.0336213,726,74,1419327,283865.4,634185.672,1418331,2,0,0,0,0,72,132,2.113653993,4.227307987,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
80,9928707,4,0,24,0,6,6,6,0,0,0,0,0,2.417233181,0.402872197,3309569,5730604.412,9926701,1003,9928707,3309569,5730604.412,9926701,1003,0,0,0,0,0,0,0,0,0,80,0,0.402872197,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,2006,0,2006,2006,9926701,0,9926701,9926701,DDoS,
53,50633,1,1,48,76,48,48,48,0,76,76,76,0,2448.995714,39.49993088,50633,0,50633,50633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,19.74996544,19.74996544,48,76,57.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,86,48,76,32,0,0,0,0,0,0,1,48,1,76,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,
80,10610749,5,0,30,0,6,6,6,0,0,0,0,0,2.827321615,0.471220269,2652687.25,5304718.52,10600000,1,10600000,2652687.25,5304718.52,10600000,1,0,0,0,0,0,0,0,0,0,100,0,0.471220269,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,984,0,984,984,10600000,0,10600000,10600000,DDoS,
80,1052487,3,3,26,11601,20,0,8.666666667,10.26320288,11595,0,3867,6692.644993,11047.16733,5.700783003,210497.4,460072.48,1033370,2,18997,9498.5,13430.0791,18995,2,1052438,526219,717219.8224,1033370,19068,0,0,0,0,72,72,2.850391501,2.850391501,0,11595,1661,4380.487987,19200000,0,0,0,1,0,0,0,0,1,1937.833333,8.666666667,3867,72,0,0,0,0,0,0,3,26,3,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
21,136578,20,25,176,438,43,0,8.8,12.68069399,51,0,17.52,15.98468017,4495.599584,329.4820542,3104.045455,13097.57427,74737,1,136508,7184.631579,27554.84545,120333,1,136481,5686.708333,17486.61978,74737,1,0,0,0,0,656,816,146.4364685,183.0455857,0,51,13.34782609,15.06610234,226.9874396,0,0,0,1,0,0,0,0,1,13.64444444,8.8,17.52,656,0,0,0,0,0,0,20,176,25,438,29200,227,12,32,0,0,0,0,0,0,0,0,BENIGN,
80,405798,3,5,26,11607,20,0,8.666666667,10.26320288,8675,0,2321.4,3769.536019,28666.97224,19.71424206,57971.14286,152159.0647,403030,6,2493,1246.5,1625.63849,2396,97,405774,101443.5,201060.9979,403030,6,0,0,0,0,72,112,7.392840773,12.32140129,0,8675,1292.555556,2931.429562,8593279.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
80,24540,3,6,26,11601,20,0,8.666666667,10.26320288,7300,0,1933.5,2720.783986,473797.881,366.7481663,3067.5,6991.968842,20169,63,3702,1851,2027.982248,3285,417,24477,4895.4,8674.094667,20169,93,0,0,0,0,72,132,122.2493888,244.4987775,0,7300,1162.7,2258.94725,5102842.678,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
53,59362,4,2,152,190,38,38,38,0,95,95,95,0,5761.261413,101.0747616,11872.4,16746.4084,35386,3,35393,11797.66667,20428.09591,35386,3,3,3,0,3,3,0,0,0,0,80,40,67.38317442,33.69158721,38,95,54.28571429,27.81315208,773.5714286,0,0,0,0,0,0,0,0,0,63.33333333,38,95,80,0,0,0,0,0,0,4,152,2,190,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN,
